FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld
7545,26210,561466,4130-0003-0121-000,369.6629944,26211_29.1729409_-95.0058101_0_314.50.jpg,rrf39FZQjDnW0LoFn_Rfiw,26211,0.562012000000000,621,252,146,6.801512853000000,5.916016177000000,27.818095910000000,2.527914122000000,3.388102055000000,0.885496676000000,0.163891684000000,29.172940900000000,-95.005810100000005,29.173143660000001,-95.005978630000001,2013,Not_at_edge,Y,T,14.000000000000000,N
7546,26245,561501,4130-0006-0022-000,382.3909912,26246_29.1730519_-95.0043344_0_175.23.jpg,zX9j1d1F6Mzf0T-7x2b9Ow,26246,0.908203000000000,636,352,240,5.161304987000000,4.022668398000000,26.375226040000001,0.579999006000000,3.442669392000000,1.138636589000000,0.174400583000000,29.173051900000001,-95.004334400000005,29.172814930000001,-95.004359080000000,2013,Not_at_edge,Y,T,14.000000000000000,N
7547,26301,561557,4130-0006-0020-000,217.3939972,26302_29.1718722_-95.0047481_0_56.82.jpg,kBNb986GGi-u9nm5dmK7hw,26302,0.696777000000000,309,189,102,9.005990640000000,7.969399229000000,33.484402029999998,4.526682630000000,3.442716599000000,1.036591411000000,-0.051938070000000,29.171872199999999,-95.004748100000000,29.172050429999999,-95.004470170000005,2013,Not_at_edge,Y,T,14.000000000000000,N
7548,26324,561580,4132-0003-0048-000,165.3679962,26325_29.1717247_-94.9973297_0_54.60.jpg,QIBm5ZXbvtUWAdtGepg0nw,26325,0.627930000000000,115,486,414,2.518750271000000,0.429956040000000,41.111309009999999,-2.875844160000000,3.305800200000000,2.088794231000000,-0.185544791000000,29.171724699999999,-94.997329699999995,29.171991649999999,-94.997036289999997,2013,Not_at_edge,Y,T,14.000000000000000,Y
7549,26403,561659,4130-0003-0099-000,210.4259949,26404_29.1704996_-94.9982683_0_320.48.jpg,#NAME?,26404,0.854492000000000,636,314,204,6.775631823000000,4.734516539000000,26.853146010000000,1.291814961000000,3.442701578000000,2.041115284000000,0.174062197000000,29.170499599999999,-94.998268300000007,29.170710369999998,-94.998404429999994,2013,Not_at_edge,Y,T,14.000000000000000,N
7550,26433,561689,4130-0003-0135-000,272.1149902,26434_29.1701801_-95.0035107_0_245.39.jpg,e1Q7QHB1HcMgK4y-o0ayPA,26434,0.878906000000000,433,517,416,2.171817301000000,0.793366550000000,28.538765420000001,-2.666870238000000,3.460236788000000,1.378450751000000,0.034526533000000,29.170180100000000,-95.003510700000007,29.170081020000001,-95.003781480000001,2013,Not_at_edge,Y,T,14.000000000000000,Y
7551,26436,561692,4130-0006-0014-000,238.7599945,26437_29.1698891_-95.0034138_0_94.91.jpg,T8p62tFgmn4kS4MTH0XaHg,26437,0.733887000000000,116,303,222,6.872392074000000,5.498993293000000,36.995387190000002,2.055363551000000,3.443629742000000,1.373398781000000,-0.184870712000000,29.169889099999999,-95.003413800000004,29.169922150000001,-95.003035370000006,2013,Not_at_edge,Y,T,14.000000000000000,N
7552,26446,561702,4130-0003-0136-000,309.1359863,26447_29.1695919_-95.0033923_0_271.35.jpg,437HVrl0837NHxqlwmArQA,26447,0.362305000000000,379,298,198,6.584641521000000,5.187258666000000,29.092333969999999,1.745801871000000,3.441456795000000,1.397382855000000,-0.003488684000000,29.169591900000000,-95.003392300000002,29.169597169999999,-95.003691300000000,2013,Not_at_edge,Y,T,14.000000000000000,N
7553,25085,560341,4214-0000-0041-000,250.8390045,25086_29.1966272_-94.9828706_0_158.86.jpg,R-eD-Ol9851V3kTK7x0V0g,25086,0.407715000000000,628,404,235,4.601065881000000,3.212338693000000,17.462988180000000,-0.240239852000000,3.452578545000000,1.388727188000000,0.168981092000000,29.196627190000001,-94.982870620000000,29.196472780000001,-94.982834949999997,2013,Not_at_edge,Y,T,11.000000000000000,N
7554,25087,560343,4211-0000-0017-000,139.5879974,25088_29.1964486_-94.9859666_0_174.58.jpg,gy5mL5-nyaei6X3aItTCDg,25088,0.443359000000000,91,244,90,6.565749018000000,5.289056032000000,19.281726299999999,1.845451324000000,3.443604708000000,1.276692986000000,-0.201671290000000,29.196448600000000,-94.985966599999998,29.196282220000001,-94.985908719999998,2013,Not_at_edge,Y,T,11.000000000000000,N
